Designator,Mid X,Mid Y,Layer,Rotation
C1,104.800000,-79.000000,top,0.000000
C2,115.000000,-79.000000,top,0.000000
C3,115.000000,-69.000000,top,0.000000
C4,115.000000,-73.000000,top,0.000000
Q1,126.000000,-71.000000,top,0.000000
R1,119.000000,-79.000000,top,0.000000
R2,122.000000,-75.000000,top,90.000000
R3,110.730000,-62.000000,top,90.000000
R4,124.730000,-62.000000,top,90.000000
R5,138.730000,-62.000000,top,90.000000
R6,110.000000,-72.000000,top,0.000000
R7,144.730000,-69.000000,top,90.000000
U1,110.000000,-78.000000,top,0.000000
