Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805",104.800000,-79.000000,0.000000,top
"C2","1uF","C_0805",115.000000,-79.000000,0.000000,top
"C3","4.7uF","C_0805",115.000000,-69.000000,0.000000,top
"C4","100nF","C_0805",115.000000,-73.000000,0.000000,top
"Q1","AO3400A","SOT-23",126.000000,-71.000000,0.000000,top
"R1","100R","R_0805",119.000000,-79.000000,0.000000,top
"R2","100k","R_0805",122.000000,-75.000000,90.000000,top
"R3","33R","R_0805",110.730000,-62.000000,90.000000,top
"R4","33R","R_0805",124.730000,-62.000000,90.000000,top
"R5","33R","R_0805",138.730000,-62.000000,90.000000,top
"R6","100R","R_0805",110.000000,-72.000000,0.000000,top
"R7","1k","R_0805",144.730000,-69.000000,90.000000,top
"U1","MCP1700-3302","SOT-23",110.000000,-78.000000,0.000000,top
