Comment,Designator,Footprint,LCSC Part #
100R 0.25W,R1,R_1206_3216Metric,C17901
100R 0.25W,R2,R_1206_3216Metric,C17901
100R 0.25W,R3,R_1206_3216Metric,C17901
100R 0.25W,R4,R_1206_3216Metric,C17901
100R 0.25W,R5,R_1206_3216Metric,C17901
100R 0.25W,R6,R_1206_3216Metric,C17901
100R 0.25W,R7,R_1206_3216Metric,C17901
100R 0.25W,R8,R_1206_3216Metric,C17901
100R 0.25W,R9,R_1206_3216Metric,C17901
100R 0.25W,R10,R_1206_3216Metric,C17901
100R 0.25W,R11,R_1206_3216Metric,C17901
100R 0.25W,R12,R_1206_3216Metric,C17901
220R,RG,R_0603_1608Metric,C22962
10k,RPD,R_0603_1608Metric,C25804
AO3400A,Q1,SOT-23,C20917
100nF 50V X7R,Cdec,C_0603_1608Metric,C14663
