Designator,Mid X,Mid Y,Rotation,Layer
R1,100.000mm,-72.000mm,-90.0,Top
R2,111.833mm,-74.623mm,-65.0,Top
R3,121.449mm,-82.002mm,-40.0,Top
R4,121.449mm,-117.998mm,40.0,Top
R5,114.000mm,-124.249mm,60.0,Top
R6,78.551mm,-117.998mm,140.0,Top
R7,74.623mm,-111.833mm,155.0,Top
R8,72.425mm,-104.862mm,170.0,Top
R9,72.107mm,-97.560mm,185.0,Top
R10,73.689mm,-90.423mm,200.0,Top
R11,80.201mm,-80.201mm,225.0,Top
R12,90.423mm,-73.689mm,250.0,Top
U1,124.500mm,-100.000mm,90.0,Top
J1,100.000mm,-132.000mm,180.0,Top
U2,100.000mm,-121.000mm,0.0,Top
C1,94.000mm,-121.000mm,90.0,Top
C2,106.000mm,-121.000mm,90.0,Top
C3,100.000mm,-116.000mm,0.0,Top
C4,94.000mm,-113.000mm,0.0,Top
C5,98.000mm,-113.000mm,0.0,Top
R_EN,90.000mm,-90.000mm,90.0,Top
C_EN,88.000mm,-92.000mm,90.0,Top
R_BOOT,109.000mm,-89.000mm,90.0,Top
SW_RESET,82.000mm,-91.000mm,0.0,Top
SW_BOOT,82.000mm,-96.000mm,0.0,Top
SW_PAIR,82.000mm,-101.000mm,0.0,Top
R_PAIR,87.000mm,-110.000mm,90.0,Top
R_GATE,102.000mm,-108.000mm,0.0,Top
R_PD,104.000mm,-111.000mm,90.0,Top
Q1,108.000mm,-114.000mm,0.0,Top
R_RX,96.000mm,-82.000mm,90.0,Top
C_RX1,100.000mm,-82.000mm,0.0,Top
C_RX2,105.000mm,-82.000mm,0.0,Top
C_RX3,105.000mm,-86.000mm,90.0,Top
R_STATUS,92.000mm,-115.000mm,0.0,Top
D_STATUS,95.000mm,-115.000mm,0.0,Top
R_CC1,94.800mm,-126.500mm,180.0,Top
R_CC2,105.200mm,-126.500mm,180.0,Top
